"Occupational Employment and Wage Statistics"

"Selection Criteria Used"
"Area:","Massachusetts"
"Time Period:","May 2023"
"Occupation:"," Total, All Occupations"

"SOC Code","Occupation Title","Employment","Median Annual","Mean Annual","Entry Annual","Experienced Annual","Typical education needed for entry"
="00-0000","Total, All Occupations","3,643,450","$60,690","$80,330","$37,510","$101,420","No formal educational credential"
="11-0000","Management Occupations","345,350","$136,430","$160,460","$78,110","$201,020","No formal educational credential"
="11-1021","General and Operations Managers","111,380","$120,680","$149,870","$65,050","$191,650","Bachelor's degree"
="11-2011","Advertising and Promotions Managers","560","$121,810","$136,910","$80,800","$164,540","Bachelor's degree"
="11-2021","Marketing Managers","13,510","$169,990","$180,120","$107,030","$216,110","Bachelor's degree"
="11-2022","Sales Managers","14,820","$156,360","$172,390","$88,110","$213,910","Bachelor's degree"
="11-2032","Public Relations Managers","2,440","$152,050","$170,600","$95,540","$207,560","Bachelor's degree"
="11-2033","Fundraising Managers","1,790","$136,610","$152,010","$92,750","$181,200","Bachelor's degree"
="11-3012","Administrative Services Managers","8,700","$117,850","$137,250","$82,880","$164,030","Bachelor's degree"
="11-3013","Facilities Managers","4,930","$114,830","$124,070","$76,610","$147,440","Bachelor's degree"
="11-3021","Computer and Information Systems Managers","25,030","$175,170","$191,750","$131,780","$221,280","Bachelor's degree"
="11-3031","Financial Managers","31,370","$169,870","$192,040","$107,800","$233,540","Bachelor's degree"
="11-3051","Industrial Production Managers","6,120","$133,590","$142,520","$90,860","$167,960","Bachelor's degree"
="11-3061","Purchasing Managers","2,740","$154,760","$163,560","$104,980","$192,410","Bachelor's degree"
="11-3071","Transportation, Storage, and Distribution Managers","4,340","$101,010","$116,160","$66,110","$140,820","High school diploma or equivalent"
="11-3111","Compensation and Benefits Managers","720","$169,690","$175,290","$116,820","$204,090","Bachelor's degree"
="11-3121","Human Resources Managers","6,690","$170,840","$185,650","$109,800","$223,010","Bachelor's degree"
="11-3131","Training and Development Managers","1,100","$154,040","$158,710","$96,130","$189,540","Bachelor's degree"
="11-9013","Farmers, Ranchers, and Other Agricultural Managers","30","$74,500","$82,150","$59,190","$93,460","High school diploma or equivalent"
="11-9021","Construction Managers","7,970","$134,460","$144,830","$98,530","$167,640","Bachelor's degree"
="11-9031","Education and Childcare Administrators, Preschool and Daycare","2,380","$61,090","$69,280","$53,250","$77,180","Bachelor's degree"
="11-9032","Education Administrators, Kindergarten through Secondary School","9,880","$124,110","$122,500","$85,000","$140,980","Master's degree"
="11-9033","Education Administrators, Postsecondary","***","$104,270","$126,940","$71,890","$154,060","Master's degree"
="11-9039","Education Administrators, All Other","1,250","$92,000","$108,180","$59,180","$132,320","Bachelor's degree"
="11-9041","Architectural and Engineering Managers","7,040","$174,230","$184,500","$134,850","$208,960","Bachelor's degree"
="11-9051","Food Service Managers","4,530","$77,030","$81,860","$58,340","$93,440","High school diploma or equivalent"
